a,aaac2b1
ac23d,d32cadd
ac2d1,1d2ca11
ac2db,bd2cabb
ac2d3,3d2ca33
ac31b,b13cabb
ac312,213ca22
ac31d,d13cadd
ac3b1,1b3ca11
ac3b2,2b3ca22
ac3bd,db3cadd
ac321,123ca11
ac32b,b23cabb
ac32d,d23cadd
ac3d1,1d3ca11
ac3db,bd3cabb
ac3d2,2d3ca22
acd1b,b1dcabb
acd12,21dca22
acd13,31dca33
acdb1,1bdca11
acdb2,2bdca22
acdb3,3bdca33
acd21,12dca11
acd2b,b2dcabb
acd23,32dca33
acd31,13dca11
acd3b,b3dcabb
acd32,23dca22
a31b2,2b13a22
a31bc,cb13acc
a31bd,db13add
a312b,b213abb
a312c,c213acc
a312d,d213add
a31cb,bc13abb
a31c2,2c13a22
a31cd,dc13add
a31db,bd13abb
a31d2,2d13a22
a31dc,cd13acc
a3b12,21b3a22
a3b1c,c1b3acc
a3b1d,d1b3add
a3b21,12b3a11
a3b2c,c2b3acc
a3b2d,d2b3add
a3bc1,1cb3a11
a3bc2,2cb3a22
a3bcd,dcb3add
a3bd1,1db3a11
a3bd2,2db3a22
a3bdc,cdb3acc
a321b,b123abb
a321c,c123acc
a321d,d123add
a32b1,1b23a11
a32bc,cb23acc
a32bd,db23add
a32c1,1c23a11
a32cb,bc23abb
a32cd,dc23add
a32d1,1d23a11
a32db,bd23abb
a32dc,cd23acc
a3c1b,b1c3abb
a3c12,21c3a22
a3c1d,d1c3add
a3cb1,1bc3a11
a3cb2,2bc3a22
a3cbd,dbc3add
a3c21,12c3a11
a3c2b,b2c3abb
a3c2d,d2c3add
a3cd1,1dc3a11
a3cdb,bdc3abb
a3cd2,2dc3a22
a3d1b,b1d3abb
a3d12,21d3a22
a3d1c,c1d3acc
a3db1,1bd3a11
a3db2,2bd3a22
a3dbc,cbd3acc
a3d21,12d3a11
a3d2b,b2d3abb
a3d2c,c2d3acc
a3dc1,1cd3a11
a3dcb,bcd3abb
a3dc2,2cd3a22
ad1b2,2b1da22
ad1bc,cb1dacc
ad1b3,3b1da33
ad12b,b21dabb
ad12c,c21dacc
ad123,321da33
ad1cb,bc1dabb
ad1c2,2c1da22
ad1c3,3c1da33
ad13b,b31dabb
ad132,231da22
ad13c,c31dacc
adb12,21bda22
adb1c,c1bdacc
adb13,31bda33
adb21,12bda11
adb2c,c2bdacc
adb23,32bda33
adbc1,1cbda11
adbc2,2cbda22
adbc3,3cbda33
adb31,13bda11
adb32,23bda22
adb3c,c3bdacc
ad21b,b12dabb
ad21c,c12dacc
ad213,312da33
ad2b1,1b2da11
ad2bc,cb2dacc
ad2b3,3b2da33
ad2c1,1c2da11
ad2cb,bc2dabb
ad2c3,3c2da33
ad231,132da11
ad23b,b32dabb
ad23c,c32dacc
adc1b,b1cdabb
adc12,21cda22
adc13,31cda33
adcb1,1bcda11
adcb2,2bcda22
adcb3,3bcda33
adc21,12cda11
adc2b,b2cdabb
adc23,32cda33
adc31,13cda11
adc3b,b3cdabb
adc32,23cda22
ad31b,b13dabb
ad312,213da22
ad31c,c13dacc
ad3b1,1b3da11
ad3b2,2b3da22
ad3bc,cb3dacc
ad321,123da11
ad32b,b23dabb
ad32c,c23dacc
ad3c1,1c3da11
ad3cb,bc3dabb
ad3c2,2c3da22
1ab2c,c2ba1cc
1ab23,32ba133
1ab2d,d2ba1dd
1abc2,2cba122
1abc3,3cba133
1abcd,dcba1dd
1ab32,23ba122
1ab3c,c3ba1cc
1ab3d,d3ba1dd
1abd2,2dba122
1abdc,cdba1cc
1abd3,3dba133
1a2bc,cb2a1cc
1a2b3,3b2a133
1a2bd,db2a1dd
1a2cb,bc2a1bb
1a2c3,3c2a133
1a2cd,dc2a1dd
1a23b,b32a1bb
1a23c,c32a1cc
1a23d,d32a1dd
1a2db,bd2a1bb
1a2dc,cd2a1cc
1a2d3,3d2a133
1acb2,2bca122
1acb3,3bca133
1acbd,dbca1dd
1ac2b,b2ca1bb
1ac23,32ca133
1ac2d,d2ca1dd
1ac3b,b3ca1bb
1ac32,23ca122
1ac3d,d3ca1dd
1acdb,bdca1bb
1acd2,2dca122
1acd3,3dca133
1a3b2,2b3a122
1a3bc,cb3a1cc
1a3bd,db3a1dd
1a32b,b23a1bb
1a32c,c23a1cc
1a32d,d23a1dd
1a3cb,bc3a1bb
1a3c2,2c3a122
1a3cd,dc3a1dd
1a3db,bd3a1bb
1a3d2,2d3a122
1a3dc,cd3a1cc
1adb2,2bda122
1adbc,cbda1cc
1adb3,3bda133
1ad2b,b2da1bb
1ad2c,c2da1cc
1ad23,32da133
1adcb,bcda1bb
1adc2,2cda122
1adc3,3cda133
1ad3b,b3da1bb
1ad32,23da122
1ad3c,c3da1cc
1ba2c,c2ab1cc
1ba23,32ab133
1ba2d,d2ab1dd
1bac2,2cab122
1bac3,3cab133
1bacd,dcab1dd
1ba32,23ab122
1ba3c,c3ab1cc
1ba3d,d3ab1dd
1bad2,2dab122
1badc,cdab1cc
1bad3,3dab133
1b2ac,ca2b1cc
1b2a3,3a2b133
1b2ad,da2b1dd
1b2ca,ac2b1aa
1b2c3,3c2b133
1b2cd,dc2b1dd
1b23a,a32b1aa
1b23c,c32b1cc
1b23d,d32b1dd
1b2da,ad2b1aa
1b2dc,cd2b1cc
1b2d3,3d2b133
1bca2,2acb122
1bca3,3acb133
1bcad,dacb1dd
1bc2a,a2cb1aa
1bc23,32cb133
1bc2d,d2cb1dd
1bc3a,a3cb1aa
1bc32,23cb122
1bc3d,d3cb1dd
1bcda,adcb1aa
1bcd2,2dcb122
1bcd3,3dcb133
1b3a2,2a3b122
1b3ac,ca3b1cc
1b3ad,da3b1dd
1b32a,a23b1aa
1b32c,c23b1cc
1b32d,d23b1dd
1b3ca,ac3b1aa
1b3c2,2c3b122
1b3cd,dc3b1dd
1b3da,ad3b1aa
1b3d2,2d3b122
1b3dc,cd3b1cc
1bda2,2adb122
1bdac,cadb1cc
1bda3,3adb133
1bd2a,a2db1aa
1bd2c,c2db1cc
1bd23,32db133
1bdca,acdb1aa
1bdc2,2cdb122
1bdc3,3cdb133
1bd3a,a3db1aa
1bd32,23db122
1bd3c,c3db1cc
12abc,cba21cc
12ab3,3ba2133
12abd,dba21dd
12acb,bca21bb
12ac3,3ca2133
12acd,dca21dd
12a3b,b3a21bb
12a3c,c3a21cc
12a3d,d3a21dd
12adb,bda21bb
12adc,cda21cc
12ad3,3da2133
12bac,cab21cc
12ba3,3ab2133
12bad,dab21dd
12bca,acb21aa
12bc3,3cb2133
12bcd,dcb21dd
12b3a,a3b21aa
12b3c,c3b21cc
12b3d,d3b21dd
12bda,adb21aa
12bdc,cdb21cc
12bd3,3db2133
12cab,bac21bb
12ca3,3ac2133
12cad,dac21dd
12cba,abc21aa
12cb3,3bc2133
12cbd,dbc21dd
12c3a,a3c21aa
12c3b,b3c21bb
12c3d,d3c21dd
12cda,adc21aa
12cdb,bdc21bb
12cd3,3dc2133
123ab,ba321bb
123ac,ca321cc
123ad,da321dd
123ba,ab321aa
123bc,cb321cc
123bd,db321dd
123ca,ac321aa
123cb,bc321bb
123cd,dc321dd
123da,ad321aa
123db,bd321bb
123dc,cd321cc
12dab,bad21bb
12dac,cad21cc
12da3,3ad2133
12dba,abd21aa
12dbc,cbd21cc
12db3,3bd2133
12dca,acd21aa
12dcb,bcd21bb
12dc3,3cd2133
12d3a,a3d21aa
12d3b,b3d21bb
12d3c,c3d21cc
1cab2,2bac122
1cab3,3bac133
1cabd,dbac1dd
1ca2b,b2ac1bb
1ca23,32ac133
1ca2d,d2ac1dd
1ca3b,b3ac1bb
1ca32,23ac122
1ca3d,d3ac1dd
1cadb,bdac1bb
1cad2,2dac122
1cad3,3dac133
1cba2,2abc122
1cba3,3abc133
1cbad,dabc1dd
1cb2a,a2bc1aa
1cb23,32bc133
1cb2d,d2bc1dd
1cb3a,a3bc1aa
1cb32,23bc122
1cb3d,d3bc1dd
1cbda,adbc1aa
1cbd2,2dbc122
1cbd3,3dbc133
1c2ab,ba2c1bb
1c2a3,3a2c133
1c2ad,da2c1dd
1c2ba,ab2c1aa
1c2b3,3b2c133
1c2bd,db2c1dd
1c23a,a32c1aa
1c23b,b32c1bb
1c23d,d32c1dd
1c2da,ad2c1aa
1c2db,bd2c1bb
1c2d3,3d2c133
1c3ab,ba3c1bb
1c3a2,2a3c122
1c3ad,da3c1dd
1c3ba,ab3c1aa
1c3b2,2b3c122
1c3bd,db3c1dd
1c32a,a23c1aa
1c32b,b23c1bb
1c32d,d23c1dd
1c3da,ad3c1aa
1c3db,bd3c1bb
1c3d2,2d3c122
1cdab,badc1bb
1cda2,2adc122
1cda3,3adc133
1cdba,abdc1aa
1cdb2,2bdc122
1cdb3,3bdc133
1cd2a,a2dc1aa
1cd2b,b2dc1bb
1cd23,32dc133
1cd3a,a3dc1aa
1cd3b,b3dc1bb
1cd32,23dc122
13ab2,2ba3122
13abc,cba31cc
13abd,dba31dd
13a2b,b2a31bb
13a2c,c2a31cc
13a2d,d2a31dd
13acb,bca31bb
13ac2,2ca3122
13acd,dca31dd
13adb,bda31bb
13ad2,2da3122
13adc,cda31cc
13ba2,2ab3122
13bac,cab31cc
13bad,dab31dd
13b2a,a2b31aa
13b2c,c2b31cc
13b2d,d2b31dd
13bca,acb31aa
13bc2,2cb3122
13bcd,dcb31dd
13bda,adb31aa
13bd2,2db3122
13bdc,cdb31cc
132ab,ba231bb
132ac,ca231cc
132ad,da231dd
132ba,ab231aa
132bc,cb231cc
132bd,db231dd
132ca,ac231aa
132cb,bc231bb
132cd,dc231dd
132da,ad231aa
132db,bd231bb
132dc,cd231cc
13cab,bac31bb
13ca2,2ac3122
13cad,dac31dd
13cba,abc31aa
13cb2,2bc3122
13cbd,dbc31dd
13c2a,a2c31aa
13c2b,b2c31bb
13c2d,d2c31dd
13cda,adc31aa
13cdb,bdc31bb
13cd2,2dc3122
13dab,bad31bb
13da2,2ad3122
13dac,cad31cc
13dba,abd31aa
13db2,2bd3122
13dbc,cbd31cc
13d2a,a2d31aa
13d2b,b2d31bb
13d2c,c2d31cc
13dca,acd31aa
13dcb,bcd31bb
13dc2,2cd3122
1dab2,2bad122
1dabc,cbad1cc
1dab3,3bad133
1da2b,b2ad1bb
1da2c,c2ad1cc
1da23,32ad133
1dacb,bcad1bb
1dac2,2cad122
1dac3,3cad133
1da3b,b3ad1bb
1da32,23ad122
1da3c,c3ad1cc
1dba2,2abd122
1dbac,cabd1cc
1dba3,3abd133
1db2a,a2bd1aa
1db2c,c2bd1cc
1db23,32bd133
1dbca,acbd1aa
1dbc2,2cbd122
1dbc3,3cbd133
1db3a,a3bd1aa
1db32,23bd122
1db3c,c3bd1cc
1d2ab,ba2d1bb
1d2ac,ca2d1cc
1d2a3,3a2d133
1d2ba,ab2d1aa
1d2bc,cb2d1cc
1d2b3,3b2d133
1d2ca,ac2d1aa
1d2cb,bc2d1bb
1d2c3,3c2d133
1d23a,a32d1aa
1d23b,b32d1bb
1d23c,c32d1cc
1dcab,bacd1bb
1dca2,2acd122
1dca3,3acd133
1dcba,abcd1aa
1dcb2,2bcd122
1dcb3,3bcd133
1dc2a,a2cd1aa
1dc2b,b2cd1bb
1dc23,32cd133
1dc3a,a3cd1aa
1dc3b,b3cd1bb
1dc32,23cd122
1d3ab,ba3d1bb
1d3a2,2a3d122
1d3ac,ca3d1cc
1d3ba,ab3d1aa
1d3b2,2b3d122
1d3bc,cb3d1cc
1d32a,a23d1aa
1d32b,b23d1bb
1d32c,c23d1cc
1d3ca,ac3d1aa
1d3cb,bc3d1bb
1d3c2,2c3d122
ba12c,c21abcc
ba123,321ab33
ba12d,d21abdd
ba1c2,2c1ab22
ba1c3,3c1ab33
ba1cd,dc1abdd
ba132,231ab22
ba13c,c31abcc
ba13d,d31abdd
ba1d2,2d1ab22
ba1dc,cd1abcc
ba1d3,3d1ab33
ba21c,c12abcc
ba213,312ab33
ba21d,d12abdd
ba2c1,1c2ab11
ba2c3,3c2ab33
ba2cd,dc2abdd
ba231,132ab11
ba23c,c32abcc
ba23d,d32abdd
ba2d1,1d2ab11
ba2dc,cd2abcc
ba2d3,3d2ab33
bac12,21cab22
bac13,31cab33
bac1d,d1cabdd
bac21,12cab11
bac23,32cab33
bac2d,d2cabdd
bac31,13cab11
bac32,23cab22
bac3d,d3cabdd
bacd1,1dcab11
bacd2,2dcab22
bacd3,3dcab33
ba312,213ab22
ba31c,c13abcc
ba31d,d13abdd
ba321,123ab11
ba32c,c23abcc
ba32d,d23abdd
ba3c1,1c3ab11
ba3c2,2c3ab22
ba3cd,dc3abdd
ba3d1,1d3ab11
ba3d2,2d3ab22
ba3dc,cd3abcc
bad12,21dab22
bad1c,c1dabcc
bad13,31dab33
bad21,12dab11
bad2c,c2dabcc
bad23,32dab33
badc1,1cdab11
badc2,2cdab22
badc3,3cdab33
bad31,13dab11
bad32,23dab22
bad3c,c3dabcc
b1a2c,c2a1bcc
b1a23,32a1b33
b1a2d,d2a1bdd
b1ac2,2ca1b22
b1ac3,3ca1b33
b1acd,dca1bdd
b1a32,23a1b22
b1a3c,c3a1bcc
b1a3d,d3a1bdd
b1ad2,2da1b22
b1adc,cda1bcc
b1ad3,3da1b33
b12ac,ca21bcc
b12a3,3a21b33
b12ad,da21bdd
b12ca,ac21baa
b12c3,3c21b33
b12cd,dc21bdd
b123a,a321baa
b123c,c321bcc
b123d,d321bdd
b12da,ad21baa
b12dc,cd21bcc
b12d3,3d21b33
b1ca2,2ac1b22
b1ca3,3ac1b33
b1cad,dac1bdd
b1c2a,a2c1baa
b1c23,32c1b33
b1c2d,d2c1bdd
b1c3a,a3c1baa
b1c32,23c1b22
b1c3d,d3c1bdd
b1cda,adc1baa
b1cd2,2dc1b22
b1cd3,3dc1b33
b13a2,2a31b22
b13ac,ca31bcc
b13ad,da31bdd
b132a,a231baa
b132c,c231bcc
b132d,d231bdd
b13ca,ac31baa
b13c2,2c31b22
b13cd,dc31bdd
b13da,ad31baa
b13d2,2d31b22
b13dc,cd31bcc
b1da2,2ad1b22
b1dac,cad1bcc
b1da3,3ad1b33
b1d2a,a2d1baa
b1d2c,c2d1bcc
b1d23,32d1b33
b1dca,acd1baa
b1dc2,2cd1b22
b1dc3,3cd1b33
b1d3a,a3d1baa
b1d32,23d1b22
b1d3c,c3d1bcc
b2a1c,c1a2bcc
b2a13,31a2b33
b2a1d,d1a2bdd
b2ac1,1ca2b11
b2ac3,3ca2b33
b2acd,dca2bdd
b2a31,13a2b11
b2a3c,c3a2bcc
b2a3d,d3a2bdd
b2ad1,1da2b11
b2adc,cda2bcc
b2ad3,3da2b33
b21ac,ca12bcc
b21a3,3a12b33
b21ad,da12bdd
b21ca,ac12baa
b21c3,3c12b33
b21cd,dc12bdd
b213a,a312baa
b213c,c312bcc
b213d,d312bdd
b21da,ad12baa
b21dc,cd12bcc
b21d3,3d12b33
b2ca1,1ac2b11
b2ca3,3ac2b33
b2cad,dac2bdd
b2c1a,a1c2baa
b2c13,31c2b33
b2c1d,d1c2bdd
b2c3a,a3c2baa
b2c31,13c2b11
b2c3d,d3c2bdd
b2cda,adc2baa
b2cd1,1dc2b11
b2cd3,3dc2b33
b23a1,1a32b11
b23ac,ca32bcc
b23ad,da32bdd
b231a,a132baa
b231c,c132bcc
b231d,d132bdd
b23ca,ac32baa
b23c1,1c32b11
b23cd,dc32bdd
b23da,ad32baa
b23d1,1d32b11
b23dc,cd32bcc
b2da1,1ad2b11
b2dac,cad2bcc
b2da3,3ad2b33
b2d1a,a1d2baa
b2d1c,c1d2bcc
b2d13,31d2b33
b2dca,acd2baa
b2dc1,1cd2b11
b2dc3,3cd2b33
b2d3a,a3d2baa
b2d31,13d2b11
b2d3c,c3d2bcc
bca12,21acb22
bca13,31acb33
bca1d,d1acbdd
bca21,12acb11
bca23,32acb33
bca2d,d2acbdd
bca31,13acb11
bca32,23acb22
bca3d,d3acbdd
bcad1,1dacb11
bcad2,2dacb22
bcad3,3dacb33
bc1a2,2a1cb22
bc1a3,3a1cb33
bc1ad,da1cbdd
bc12a,a21cbaa
bc123,321cb33
bc12d,d21cbdd
bc13a,a31cbaa
bc132,231cb22
bc13d,d31cbdd
bc1da,ad1cbaa
bc1d2,2d1cb22
bc1d3,3d1cb33
bc2a1,1a2cb11
bc2a3,3a2cb33
bc2ad,da2cbdd
bc21a,a12cbaa
bc213,312cb33
bc21d,d12cbdd
bc23a,a32cbaa
bc231,132cb11
bc23d,d32cbdd
bc2da,ad2cbaa
bc2d1,1d2cb11
bc2d3,3d2cb33
bc3a1,1a3cb11
bc3a2,2a3cb22
bc3ad,da3cbdd
bc31a,a13cbaa
bc312,213cb22
bc31d,d13cbdd
bc32a,a23cbaa
bc321,123cb11
bc32d,d23cbdd
bc3da,ad3cbaa
bc3d1,1d3cb11
bc3d2,2d3cb22
bcda1,1adcb11
bcda2,2adcb22
bcda3,3adcb33
bcd1a,a1dcbaa
bcd12,21dcb22
bcd13,31dcb33
bcd2a,a2dcbaa
bcd21,12dcb11
bcd23,32dcb33
bcd3a,a3dcbaa
bcd31,13dcb11
bcd32,23dcb22
b3a12,21a3b22
b3a1c,c1a3bcc
b3a1d,d1a3bdd
b3a21,12a3b11
b3a2c,c2a3bcc
b3a2d,d2a3bdd
b3ac1,1ca3b11
b3ac2,2ca3b22
b3acd,dca3bdd
b3ad1,1da3b11
b3ad2,2da3b22
b3adc,cda3bcc
b31a2,2a13b22
b31ac,ca13bcc
b31ad,da13bdd
b312a,a213baa
b312c,c213bcc
b312d,d213bdd
b31ca,ac13baa
b31c2,2c13b22
b31cd,dc13bdd
b31da,ad13baa
b31d2,2d13b22
b31dc,cd13bcc
b32a1,1a23b11
b32ac,ca23bcc
b32ad,da23bdd
b321a,a123baa
b321c,c123bcc
b321d,d123bdd
b32ca,ac23baa
b32c1,1c23b11
b32cd,dc23bdd
b32da,ad23baa
b32d1,1d23b11
b32dc,cd23bcc
b3ca1,1ac3b11
b3ca2,2ac3b22
b3cad,dac3bdd
b3c1a,a1c3baa
b3c12,21c3b22
b3c1d,d1c3bdd
b3c2a,a2c3baa
b3c21,12c3b11
b3c2d,d2c3bdd
b3cda,adc3baa
b3cd1,1dc3b11
b3cd2,2dc3b22
b3da1,1ad3b11
b3da2,2ad3b22
b3dac,cad3bcc
b3d1a,a1d3baa
b3d12,21d3b22
b3d1c,c1d3bcc
b3d2a,a2d3baa
b3d21,12d3b11
b3d2c,c2d3bcc
b3dca,acd3baa
b3dc1,1cd3b11
b3dc2,2cd3b22
bda12,21adb22
bda1c,c1adbcc
bda13,31adb33
bda21,12adb11
bda2c,c2adbcc
bda23,32adb33
bdac1,1cadb11
bdac2,2cadb22
bdac3,3cadb33
bda31,13adb11
bda32,23adb22
bda3c,c3adbcc
bd1a2,2a1db22
bd1ac,ca1dbcc
bd1a3,3a1db33
bd12a,a21dbaa
bd12c,c21dbcc
bd123,321db33
bd1ca,ac1dbaa
bd1c2,2c1db22
bd1c3,3c1db33
bd13a,a31dbaa
bd132,231db22
bd13c,c31dbcc
bd2a1,1a2db11
bd2ac,ca2dbcc
bd2a3,3a2db33
bd21a,a12dbaa
bd21c,c12dbcc
bd213,312db33
bd2ca,ac2dbaa
bd2c1,1c2db11
bd2c3,3c2db33
bd23a,a32dbaa
bd231,132db11
bd23c,c32dbcc
bdca1,1acdb11
bdca2,2acdb22
bdca3,3acdb33
bdc1a,a1cdbaa
bdc12,21cdb22
bdc13,31cdb33
bdc2a,a2cdbaa
bdc21,12cdb11
bdc23,32cdb33
bdc3a,a3cdbaa
bdc31,13cdb11
bdc32,23cdb22
bd3a1,1a3db11
bd3a2,2a3db22
bd3ac,ca3dbcc
bd31a,a13dbaa
bd312,213db22
bd31c,c13dbcc
bd32a,a23dbaa
bd321,123db11
bd32c,c23dbcc
bd3ca,ac3dbaa
bd3c1,1c3db11
bd3c2,2c3db22
2a1bc,cb1a2cc
2a1b3,3b1a233
2a1bd,db1a2dd
2a1cb,bc1a2bb
2a1c3,3c1a233
2a1cd,dc1a2dd
2a13b,b31a2bb
2a13c,c31a2cc
2a13d,d31a2dd
2a1db,bd1a2bb
2a1dc,cd1a2cc
2a1d3,3d1a233
2ab1c,c1ba2cc
2ab13,31ba233
2ab1d,d1ba2dd
2abc1,1cba211
2abc3,3cba233
2abcd,dcba2dd
2ab31,13ba211
2ab3c,c3ba2cc
2ab3d,d3ba2dd
2abd1,1dba211
2abdc,cdba2cc
2abd3,3dba233
2ac1b,b1ca2bb
2ac13,31ca233
2ac1d,d1ca2dd
2acb1,1bca211
2acb3,3bca233
2acbd,dbca2dd
2ac31,13ca211
2ac3b,b3ca2bb
2ac3d,d3ca2dd
2acd1,1dca211
2acdb,bdca2bb
2acd3,3dca233
2a31b,b13a2bb
2a31c,c13a2cc
2a31d,d13a2dd
2a3b1,1b3a211
2a3bc,cb3a2cc
2a3bd,db3a2dd
2a3c1,1c3a211
2a3cb,bc3a2bb
2a3cd,dc3a2dd
2a3d1,1d3a211
2a3db,bd3a2bb
2a3dc,cd3a2cc
2ad1b,b1da2bb
2ad1c,c1da2cc
2ad13,31da233
2adb1,1bda211
2adbc,cbda2cc
2adb3,3bda233
2adc1,1cda211
2adcb,bcda2bb
2adc3,3cda233
2ad31,13da211
2ad3b,b3da2bb
2ad3c,c3da2cc
21abc,cba12cc
21ab3,3ba1233
21abd,dba12dd
21acb,bca12bb
21ac3,3ca1233
21acd,dca12dd
21a3b,b3a12bb
21a3c,c3a12cc
21a3d,d3a12dd
21adb,bda12bb
21adc,cda12cc
21ad3,3da1233
21bac,cab12cc
21ba3,3ab1233
21bad,dab12dd
21bca,acb12aa
21bc3,3cb1233
21bcd,dcb12dd
21b3a,a3b12aa
21b3c,c3b12cc
21b3d,d3b12dd
21bda,adb12aa
21bdc,cdb12cc
21bd3,3db1233
21cab,bac12bb
21ca3,3ac1233
21cad,dac12dd
21cba,abc12aa
21cb3,3bc1233
21cbd,dbc12dd
21c3a,a3c12aa
21c3b,b3c12bb
21c3d,d3c12dd
21cda,adc12aa
21cdb,bdc12bb
21cd3,3dc1233
213ab,ba312bb
213ac,ca312cc
213ad,da312dd
213ba,ab312aa
213bc,cb312cc
213bd,db312dd
213ca,ac312aa
213cb,bc312bb
213cd,dc312dd
213da,ad312aa
213db,bd312bb
213dc,cd312cc
21dab,bad12bb
21dac,cad12cc
21da3,3ad1233
21dba,abd12aa
21dbc,cbd12cc
21db3,3bd1233
21dca,acd12aa
21dcb,bcd12bb
21dc3,3cd1233
21d3a,a3d12aa
21d3b,b3d12bb
21d3c,c3d12cc
2ba1c,c1ab2cc
2ba13,31ab233
2ba1d,d1ab2dd
2bac1,1cab211
2bac3,3cab233
2bacd,dcab2dd
2ba31,13ab211
2ba3c,c3ab2cc
2ba3d,d3ab2dd
2bad1,1dab211
2badc,cdab2cc
2bad3,3dab233
2b1ac,ca1b2cc
2b1a3,3a1b233
2b1ad,da1b2dd
2b1ca,ac1b2aa
2b1c3,3c1b233
2b1cd,dc1b2dd
2b13a,a31b2aa
2b13c,c31b2cc
2b13d,d31b2dd
2b1da,ad1b2aa
2b1dc,cd1b2cc
2b1d3,3d1b233
2bca1,1acb211
2bca3,3acb233
2bcad,dacb2dd
2bc1a,a1cb2aa
2bc13,31cb233
2bc1d,d1cb2dd
2bc3a,a3cb2aa
2bc31,13cb211
2bc3d,d3cb2dd
2bcda,adcb2aa
2bcd1,1dcb211
2bcd3,3dcb233
2b3a1,1a3b211
2b3ac,ca3b2cc
2b3ad,da3b2dd
2b31a,a13b2aa
2b31c,c13b2cc
2b31d,d13b2dd
2b3ca,ac3b2aa
2b3c1,1c3b211
2b3cd,dc3b2dd
2b3da,ad3b2aa
2b3d1,1d3b211
2b3dc,cd3b2cc
2bda1,1adb211
2bdac,cadb2cc
2bda3,3adb233
2bd1a,a1db2aa
2bd1c,c1db2cc
2bd13,31db233
2bdca,acdb2aa
2bdc1,1cdb211
2bdc3,3cdb233
2bd3a,a3db2aa
2bd31,13db211
2bd3c,c3db2cc
2ca1b,b1ac2bb
2ca13,31ac233
2ca1d,d1ac2dd
2cab1,1bac211
2cab3,3bac233
2cabd,dbac2dd
2ca31,13ac211
2ca3b,b3ac2bb
2ca3d,d3ac2dd
2cad1,1dac211
2cadb,bdac2bb
2cad3,3dac233
2c1ab,ba1c2bb
2c1a3,3a1c233
2c1ad,da1c2dd
2c1ba,ab1c2aa
2c1b3,3b1c233
2c1bd,db1c2dd
2c13a,a31c2aa
2c13b,b31c2bb
2c13d,d31c2dd
2c1da,ad1c2aa
2c1db,bd1c2bb
2c1d3,3d1c233
2cba1,1abc211
2cba3,3abc233
2cbad,dabc2dd
2cb1a,a1bc2aa
2cb13,31bc233
2cb1d,d1bc2dd
2cb3a,a3bc2aa
2cb31,13bc211
2cb3d,d3bc2dd
2cbda,adbc2aa
2cbd1,1dbc211
2cbd3,3dbc233
2c3a1,1a3c211
2c3ab,ba3c2bb
2c3ad,da3c2dd
2c31a,a13c2aa
2c31b,b13c2bb
2c31d,d13c2dd
2c3ba,ab3c2aa
2c3b1,1b3c211
2c3bd,db3c2dd
2c3da,ad3c2aa
2c3d1,1d3c211
2c3db,bd3c2bb
2cda1,1adc211
2cdab,badc2bb
2cda3,3adc233
2cd1a,a1dc2aa
2cd1b,b1dc2bb
2cd13,31dc233
2cdba,abdc2aa
2cdb1,1bdc211
2cdb3,3bdc233
2cd3a,a3dc2aa
2cd31,13dc211
2cd3b,b3dc2bb
23a1b,b1a32bb
23a1c,c1a32cc
23a1d,d1a32dd
23ab1,1ba3211
23abc,cba32cc
23abd,dba32dd
23ac1,1ca3211
23acb,bca32bb
23acd,dca32dd
23ad1,1da3211
23adb,bda32bb
23adc,cda32cc
231ab,ba132bb
231ac,ca132cc
231ad,da132dd
231ba,ab132aa
231bc,cb132cc
231bd,db132dd
231ca,ac132aa
231cb,bc132bb
231cd,dc132dd
231da,ad132aa
231db,bd132bb
231dc,cd132cc
23ba1,1ab3211
23bac,cab32cc
23bad,dab32dd
23b1a,a1b32aa
23b1c,c1b32cc
23b1d,d1b32dd
23bca,acb32aa
23bc1,1cb3211
23bcd,dcb32dd
23bda,adb32aa
23bd1,1db3211
23bdc,cdb32cc
23ca1,1ac3211
23cab,bac32bb
23cad,dac32dd
23c1a,a1c32aa
23c1b,b1c32bb
23c1d,d1c32dd
23cba,abc32aa
23cb1,1bc3211
23cbd,dbc32dd
23cda,adc32aa
23cd1,1dc3211
23cdb,bdc32bb
23da1,1ad3211
23dab,bad32bb
23dac,cad32cc
23d1a,a1d32aa
23d1b,b1d32bb
23d1c,c1d32cc
23dba,abd32aa
23db1,1bd3211
23dbc,cbd32cc
23dca,acd32aa
23dc1,1cd3211
23dcb,bcd32bb
2da1b,b1ad2bb
2da1c,c1ad2cc
2da13,31ad233
2dab1,1bad211
2dabc,cbad2cc
2dab3,3bad233
2dac1,1cad211
2dacb,bcad2bb
2dac3,3cad233
2da31,13ad211
2da3b,b3ad2bb
2da3c,c3ad2cc
2d1ab,ba1d2bb
2d1ac,ca1d2cc
2d1a3,3a1d233
2d1ba,ab1d2aa
2d1bc,cb1d2cc
2d1b3,3b1d233
2d1ca,ac1d2aa
2d1cb,bc1d2bb
2d1c3,3c1d233
2d13a,a31d2aa
2d13b,b31d2bb
2d13c,c31d2cc
2dba1,1abd211
2dbac,cabd2cc
2dba3,3abd233
2db1a,a1bd2aa
2db1c,c1bd2cc
2db13,31bd233
2dbca,acbd2aa
2dbc1,1cbd211
2dbc3,3cbd233
2db3a,a3bd2aa
2db31,13bd211
2db3c,c3bd2cc
2dca1,1acd211
2dcab,bacd2bb
2dca3,3acd233
2dc1a,a1cd2aa
2dc1b,b1cd2bb
2dc13,31cd233
2dcba,abcd2aa
