a,aaafedcb
dhgc,cghdcccb
dhge,eghdeecb
dhgf,fghdffcb
eabc,cbaecccb
eabd,dbaeddcb
eabf,fbaeffcb
eabg,gbaeggcb
eabh,hbaehhcb
eacb,bcaebbcb
eacd,dcaeddcb
eacf,fcaeffcb
eacg,gcaeggcb
each,hcaehhcb
eadb,bdaebbcb
eadc,cdaecccb
eadf,fdaeffcb
eadg,gdaeggcb
eadh,hdaehhcb
eafb,bfaebbcb
eafc,cfaecccb
eafd,dfaeddcb
eafg,gfaeggcb
eafh,hfaehhcb
eagb,bgaebbcb
eagc,cgaecccb
eagd,dgaeddcb
eagf,fgaeffcb
eagh,hgaehhcb
eahb,bhaebbcb
eahc,chaecccb
eahd,dhaeddcb
eahf,fhaeffcb
eahg,ghaeggcb
ebac,cabecccb
ebad,dabeddcb
ebaf,fabeffcb
ebag,gabeggcb
ebah,habehhcb
ebca,acbeaacb
ebcd,dcbeddcb
ebcf,fcbeffcb
ebcg,gcbeggcb
ebch,hcbehhcb
ebda,adbeaacb
ebdc,cdbecccb
ebdf,fdbeffcb
ebdg,gdbeggcb
ebdh,hdbehhcb
ebfa,afbeaacb
ebfc,cfbecccb
ebfd,dfbeddcb
ebfg,gfbeggcb
ebfh,hfbehhcb
ebga,agbeaacb
ebgc,cgbecccb
ebgd,dgbeddcb
ebgf,fgbeffcb
ebgh,hgbehhcb
ebha,ahbeaacb
ebhc,chbecccb
ebhd,dhbeddcb
ebhf,fhbeffcb
ebhg,ghbeggcb
ecab,bacebbcb
ecad,daceddcb
ecaf,faceffcb
ecag,gaceggcb
ecah,hacehhcb
ecba,abceaacb
ecbd,dbceddcb
ecbf,fbceffcb
ecbg,gbceggcb
ecbh,hbcehhcb
ecda,adceaacb
ecdb,bdcebbcb
ecdf,fdceffcb
ecdg,gdceggcb
ecdh,hdcehhcb
ecfa,afceaacb
ecfb,bfcebbcb
ecfd,dfceddcb
ecfg,gfceggcb
ecfh,hfcehhcb
ecga,agceaacb
ecgb,bgcebbcb
ecgd,dgceddcb
ecgf,fgceffcb
ecgh,hgcehhcb
echa,ahceaacb
echb,bhcebbcb
echd,dhceddcb
echf,fhceffcb
echg,ghceggcb
edab,badebbcb
edac,cadecccb
edaf,fadeffcb
edag,gadeggcb
edah,hadehhcb
edba,abdeaacb
edbc,cbdecccb
edbf,fbdeffcb
edbg,gbdeggcb
edbh,hbdehhcb
edca,acdeaacb
edcb,bcdebbcb
edcf,fcdeffcb
edcg,gcdeggcb
edch,hcdehhcb
edfa,afdeaacb
edfb,bfdebbcb
edfc,cfdecccb
edfg,gfdeggcb
edfh,hfdehhcb
edga,agdeaacb
edgb,bgdebbcb
edgc,cgdecccb
edgf,fgdeffcb
edgh,hgdehhcb
edha,ahdeaacb
edhb,bhdebbcb
edhc,chdecccb
edhf,fhdeffcb
edhg,ghdeggcb
efab,bafebbcb
efac,cafecccb
efad,dafeddcb
efag,gafeggcb
efah,hafehhcb
efba,abfeaacb
efbc,cbfecccb
efbd,dbfeddcb
efbg,gbfeggcb
efbh,hbfehhcb
efca,acfeaacb
efcb,bcfebbcb
efcd,dcfeddcb
efcg,gcfeggcb
efch,hcfehhcb
efda,adfeaacb
efdb,bdfebbcb
efdc,cdfecccb
efdg,gdfeggcb
efdh,hdfehhcb
efga,agfeaacb
efgb,bgfebbcb
efgc,cgfecccb
efgd,dgfeddcb
efgh,hgfehhcb
efha,ahfeaacb
efhb,bhfebbcb
efhc,chfecccb
efhd,dhfeddcb
efhg,ghfeggcb
egab,bagebbcb
egac,cagecccb
egad,dageddcb
egaf,fageffcb
egah,hagehhcb
egba,abgeaacb
egbc,cbgecccb
egbd,dbgeddcb
egbf,fbgeffcb
egbh,hbgehhcb
egca,acgeaacb
egcb,bcgebbcb
egcd,dcgeddcb
egcf,fcgeffcb
egch,hcgehhcb
egda,adgeaacb
egdb,bdgebbcb
egdc,cdgecccb
egdf,fdgeffcb
egdh,hdgehhcb
egfa,afgeaacb
egfb,bfgebbcb
egfc,cfgecccb
egfd,dfgeddcb
egfh,hfgehhcb
egha,ahgeaacb
eghb,bhgebbcb
eghc,chgecccb
eghd,dhgeddcb
eghf,fhgeffcb
ehab,bahebbcb
ehac,cahecccb
ehad,daheddcb
ehaf,faheffcb
ehag,gaheggcb
ehba,abheaacb
ehbc,cbhecccb
ehbd,dbheddcb
ehbf,fbheffcb
ehbg,gbheggcb
ehca,acheaacb
ehcb,bchebbcb
ehcd,dcheddcb
ehcf,fcheffcb
ehcg,gcheggcb
ehda,adheaacb
ehdb,bdhebbcb
ehdc,cdhecccb
ehdf,fdheffcb
ehdg,gdheggcb
ehfa,afheaacb
ehfb,bfhebbcb
ehfc,cfhecccb
ehfd,dfheddcb
ehfg,gfheggcb
ehga,agheaacb
ehgb,bghebbcb
ehgc,cghecccb
ehgd,dgheddcb
ehgf,fgheffcb
fabc,cbafcccb
fabd,dbafddcb
fabe,ebafeecb
fabg,gbafggcb
fabh,hbafhhcb
facb,bcafbbcb
facd,dcafddcb
face,ecafeecb
facg,gcafggcb
fach,hcafhhcb
fadb,bdafbbcb
fadc,cdafcccb
fade,edafeecb
fadg,gdafggcb
fadh,hdafhhcb
faeb,beafbbcb
faec,ceafcccb
faed,deafddcb
faeg,geafggcb
faeh,heafhhcb
fagb,bgafbbcb
fagc,cgafcccb
fagd,dgafddcb
fage,egafeecb
fagh,hgafhhcb
fahb,bhafbbcb
fahc,chafcccb
fahd,dhafddcb
fahe,ehafeecb
fahg,ghafggcb
fbac,cabfcccb
fbad,dabfddcb
fbae,eabfeecb
fbag,gabfggcb
fbah,habfhhcb
fbca,acbfaacb
fbcd,dcbfddcb
fbce,ecbfeecb
fbcg,gcbfggcb
fbch,hcbfhhcb
fbda,adbfaacb
fbdc,cdbfcccb
fbde,edbfeecb
fbdg,gdbfggcb
fbdh,hdbfhhcb
fbea,aebfaacb
fbec,cebfcccb
fbed,debfddcb
fbeg,gebfggcb
fbeh,hebfhhcb
fbga,agbfaacb
fbgc,cgbfcccb
fbgd,dgbfddcb
fbge,egbfeecb
fbgh,hgbfhhcb
fbha,ahbfaacb
fbhc,chbfcccb
fbhd,dhbfddcb
fbhe,ehbfeecb
fbhg,ghbfggcb
fcab,bacfbbcb
fcad,dacfddcb
fcae,eacfeecb
fcag,gacfggcb
fcah,hacfhhcb
fcba,abcfaacb
fcbd,dbcfddcb
fcbe,ebcfeecb
fcbg,gbcfggcb
fcbh,hbcfhhcb
fcda,adcfaacb
fcdb,bdcfbbcb
fcde,edcfeecb
fcdg,gdcfggcb
fcdh,hdcfhhcb
fcea,aecfaacb
fceb,becfbbcb
fced,decfddcb
fceg,gecfggcb
fceh,hecfhhcb
fcga,agcfaacb
fcgb,bgcfbbcb
fcgd,dgcfddcb
fcge,egcfeecb
fcgh,hgcfhhcb
fcha,ahcfaacb
fchb,bhcfbbcb
fchd,dhcfddcb
fche,ehcfeecb
fchg,ghcfggcb
fdab,badfbbcb
fdac,cadfcccb
fdae,eadfeecb
fdag,gadfggcb
fdah,hadfhhcb
fdba,abdfaacb
fdbc,cbdfcccb
fdbe,ebdfeecb
fdbg,gbdfggcb
fdbh,hbdfhhcb
fdca,acdfaacb
fdcb,bcdfbbcb
fdce,ecdfeecb
fdcg,gcdfggcb
fdch,hcdfhhcb
fdea,aedfaacb
fdeb,bedfbbcb
fdec,cedfcccb
fdeg,gedfggcb
fdeh,hedfhhcb
fdga,agdfaacb
fdgb,bgdfbbcb
fdgc,cgdfcccb
fdge,egdfeecb
fdgh,hgdfhhcb
fdha,ahdfaacb
fdhb,bhdfbbcb
fdhc,chdfcccb
fdhe,ehdfeecb
fdhg,ghdfggcb
feab,baefbbcb
feac,caefcccb
fead,daefddcb
feag,gaefggcb
feah,haefhhcb
feba,abefaacb
febc,cbefcccb
febd,dbefddcb
febg,gbefggcb
febh,hbefhhcb
feca,acefaacb
fecb,bcefbbcb
fecd,dcefddcb
fecg,gcefggcb
fech,hcefhhcb
feda,adefaacb
fedb,bdefbbcb
fedc,cdefcccb
fedg,gdefggcb
fedh,hdefhhcb
fega,agefaacb
fegb,bgefbbcb
fegc,cgefcccb
fegd,dgefddcb
fegh,hgefhhcb
feha,ahefaacb
fehb,bhefbbcb
fehc,chefcccb
fehd,dhefddcb
fehg,ghefggcb
fgab,bagfbbcb
fgac,cagfcccb
fgad,dagfddcb
fgae,eagfeecb
fgah,hagfhhcb
fgba,abgfaacb
fgbc,cbgfcccb
fgbd,dbgfddcb
fgbe,ebgfeecb
fgbh,hbgfhhcb
fgca,acgfaacb
fgcb,bcgfbbcb
fgcd,dcgfddcb
fgce,ecgfeecb
fgch,hcgfhhcb
fgda,adgfaacb
fgdb,bdgfbbcb
fgdc,cdgfcccb
fgde,edgfeecb
fgdh,hdgfhhcb
fgea,aegfaacb
fgeb,begfbbcb
fgec,cegfcccb
fged,degfddcb
fgeh,hegfhhcb
fgha,ahgfaacb
fghb,bhgfbbcb
fghc,chgfcccb
fghd,dhgfddcb
fghe,ehgfeecb
fhab,bahfbbcb
fhac,cahfcccb
fhad,dahfddcb
fhae,eahfeecb
fhag,gahfggcb
fhba,abhfaacb
fhbc,cbhfcccb
fhbd,dbhfddcb
fhbe,ebhfeecb
fhbg,gbhfggcb
fhca,achfaacb
fhcb,bchfbbcb
fhcd,dchfddcb
fhce,echfeecb
fhcg,gchfggcb
fhda,adhfaacb
fhdb,bdhfbbcb
fhdc,cdhfcccb
fhde,edhfeecb
fhdg,gdhfggcb
fhea,aehfaacb
fheb,behfbbcb
fhec,cehfcccb
fhed,dehfddcb
fheg,gehfggcb
fhga,aghfaacb
fhgb,bghfbbcb
fhgc,cghfcccb
fhgd,dghfddcb
fhge,eghfeecb
gabc,cbagcccb
gabd,dbagddcb
gabe,ebageecb
gabf,fbagffcb
gabh,hbaghhcb
gacb,bcagbbcb
gacd,dcagddcb
gace,ecageecb
gacf,fcagffcb
gach,hcaghhcb
gadb,bdagbbcb
gadc,cdagcccb
gade,edageecb
gadf,fdagffcb
gadh,hdaghhcb
gaeb,beagbbcb
gaec,ceagcccb
gaed,deagddcb
gaef,feagffcb
gaeh,heaghhcb
gafb,bfagbbcb
gafc,cfagcccb
gafd,dfagddcb
gafe,efageecb
gafh,hfaghhcb
gahb,bhagbbcb
gahc,chagcccb
gahd,dhagddcb
gahe,ehageecb
gahf,fhagffcb
gbac,cabgcccb
gbad,dabgddcb
gbae,eabgeecb
gbaf,fabgffcb
gbah,habghhcb
gbca,acbgaacb
gbcd,dcbgddcb
gbce,ecbgeecb
gbcf,fcbgffcb
gbch,hcbghhcb
gbda,adbgaacb
gbdc,cdbgcccb
gbde,edbgeecb
gbdf,fdbgffcb
gbdh,hdbghhcb
gbea,aebgaacb
gbec,cebgcccb
gbed,debgddcb
gbef,febgffcb
gbeh,hebghhcb
gbfa,afbgaacb
gbfc,cfbgcccb
gbfd,dfbgddcb
gbfe,efbgeecb
gbfh,hfbghhcb
gbha,ahbgaacb
gbhc,chbgcccb
gbhd,dhbgddcb
gbhe,ehbgeecb
gbhf,fhbgffcb
gcab,bacgbbcb
gcad,dacgddcb
gcae,eacgeecb
gcaf,facgffcb
gcah,hacghhcb
gcba,abcgaacb
gcbd,dbcgddcb
gcbe,ebcgeecb
gcbf,fbcgffcb
gcbh,hbcghhcb
gcda,adcgaacb
gcdb,bdcgbbcb
gcde,edcgeecb
gcdf,fdcgffcb
gcdh,hdcghhcb
gcea,aecgaacb
gceb,becgbbcb
gced,decgddcb
gcef,fecgffcb
gceh,hecghhcb
gcfa,afcgaacb
gcfb,bfcgbbcb
gcfd,dfcgddcb
gcfe,efcgeecb
gcfh,hfcghhcb
gcha,ahcgaacb
gchb,bhcgbbcb
gchd,dhcgddcb
gche,ehcgeecb
gchf,fhcgffcb
gdab,badgbbcb
gdac,cadgcccb
gdae,eadgeecb
gdaf,fadgffcb
gdah,hadghhcb
gdba,abdgaacb
gdbc,cbdgcccb
gdbe,ebdgeecb
gdbf,fbdgffcb
gdbh,hbdghhcb
gdca,acdgaacb
gdcb,bcdgbbcb
gdce,ecdgeecb
gdcf,fcdgffcb
gdch,hcdghhcb
gdea,aedgaacb
gdeb,bedgbbcb
gdec,cedgcccb
gdef,fedgffcb
gdeh,hedghhcb
gdfa,afdgaacb
gdfb,bfdgbbcb
gdfc,cfdgcccb
gdfe,efdgeecb
gdfh,hfdghhcb
gdha,ahdgaacb
gdhb,bhdgbbcb
gdhc,chdgcccb
gdhe,ehdgeecb
gdhf,fhdgffcb
geab,baegbbcb
geac,caegcccb
gead,daegddcb
geaf,faegffcb
geah,haeghhcb
geba,abegaacb
gebc,cbegcccb
gebd,dbegddcb
gebf,fbegffcb
gebh,hbeghhcb
geca,acegaacb
gecb,bcegbbcb
gecd,dcegddcb
gecf,fcegffcb
gech,hceghhcb
geda,adegaacb
gedb,bdegbbcb
gedc,cdegcccb
gedf,fdegffcb
gedh,hdeghhcb
gefa,afegaacb
gefb,bfegbbcb
gefc,cfegcccb
gefd,dfegddcb
gefh,hfeghhcb
geha,ahegaacb
gehb,bhegbbcb
gehc,chegcccb
gehd,dhegddcb
gehf,fhegffcb
gfab,bafgbbcb
gfac,cafgcccb
gfad,dafgddcb
gfae,eafgeecb
gfah,hafghhcb
gfba,abfgaacb
gfbc,cbfgcccb
gfbd,dbfgddcb
gfbe,ebfgeecb
gfbh,hbfghhcb
gfca,acfgaacb
gfcb,bcfgbbcb
gfcd,dcfgddcb
gfce,ecfgeecb
gfch,hcfghhcb
gfda,adfgaacb
gfdb,bdfgbbcb
gfdc,cdfgcccb
gfde,edfgeecb
gfdh,hdfghhcb
gfea,aefgaacb
gfeb,befgbbcb
gfec,cefgcccb
gfed,defgddcb
gfeh,hefghhcb
gfha,ahfgaacb
gfhb,bhfgbbcb
gfhc,chfgcccb
gfhd,dhfgddcb
gfhe,ehfgeecb
ghab,bahgbbcb
ghac,cahgcccb
ghad,dahgddcb
ghae,eahgeecb
ghaf,fahgffcb
ghba,abhgaacb
ghbc,cbhgcccb
ghbd,dbhgddcb
ghbe,ebhgeecb
ghbf,fbhgffcb
ghca,achgaacb
ghcb,bchgbbcb
ghcd,dchgddcb
ghce,echgeecb
ghcf,fchgffcb
ghda,adhgaacb
ghdb,bdhgbbcb
ghdc,cdhgcccb
ghde,edhgeecb
ghdf,fdhgffcb
ghea,aehgaacb
gheb,behgbbcb
ghec,cehgcccb
ghed,dehgddcb
ghef,fehgffcb
ghfa,afhgaacb
ghfb,bfhgbbcb
ghfc,cfhgcccb
ghfd,dfhgddcb
ghfe,efhgeecb
habc,cbahcccb
habd,dbahddcb
habe,ebaheecb
habf,fbahffcb
habg,gbahggcb
hacb,bcahbbcb
hacd,dcahddcb
hace,ecaheecb
hacf,fcahffcb
hacg,gcahggcb
hadb,bdahbbcb
hadc,cdahcccb
hade,edaheecb
hadf,fdahffcb
hadg,gdahggcb
haeb,beahbbcb
haec,ceahcccb
haed,deahddcb
haef,feahffcb
haeg,geahggcb
hafb,bfahbbcb
hafc,cfahcccb
hafd,dfahddcb
hafe,efaheecb
hafg,gfahggcb
hagb,bgahbbcb
hagc,cgahcccb
hagd,dgahddcb
hage,egaheecb
hagf,fgahffcb
hbac,cabhcccb
hbad,dabhddcb
hbae,eabheecb
hbaf,fabhffcb
hbag,gabhggcb
hbca,acbhaacb
hbcd,dcbhddcb
hbce,ecbheecb
hbcf,fcbhffcb
hbcg,gcbhggcb
hbda,adbhaacb
hbdc,cdbhcccb
hbde,edbheecb
hbdf,fdbhffcb
hbdg,gdbhggcb
hbea,aebhaacb
hbec,cebhcccb
hbed,debhddcb
hbef,febhffcb
hbeg,gebhggcb
hbfa,afbhaacb
hbfc,cfbhcccb
hbfd,dfbhddcb
hbfe,efbheecb
hbfg,gfbhggcb
hbga,agbhaacb
hbgc,cgbhcccb
hbgd,dgbhddcb
hbge,egbheecb
hbgf,fgbhffcb
hcab,bachbbcb
hcad,dachddcb
hcae,eacheecb
hcaf,fachffcb
hcag,gachggcb
hcba,abchaacb
hcbd,dbchddcb
hcbe,ebcheecb
hcbf,fbchffcb
hcbg,gbchggcb
hcda,adchaacb
hcdb,bdchbbcb
hcde,edcheecb
hcdf,fdchffcb
hcdg,gdchggcb
hcea,aechaacb
hceb,bechbbcb
hced,dechddcb
hcef,fechffcb
hceg,gechggcb
hcfa,afchaacb
hcfb,bfchbbcb
hcfd,dfchddcb
hcfe,efcheecb
hcfg,gfchggcb
hcga,agchaacb
hcgb,bgchbbcb
hcgd,dgchddcb
hcge,egcheecb
hcgf,fgchffcb
hdab,badhbbcb
hdac,cadhcccb
hdae,eadheecb
hdaf,fadhffcb
hdag,gadhggcb
hdba,abdhaacb
hdbc,cbdhcccb
hdbe,ebdheecb
hdbf,fbdhffcb
hdbg,gbdhggcb
hdca,acdhaacb
hdcb,bcdhbbcb
hdce,ecdheecb
hdcf,fcdhffcb
hdcg,gcdhggcb
hdea,aedhaacb
hdeb,bedhbbcb
hdec,cedhcccb
hdef,fedhffcb
hdeg,gedhggcb
hdfa,afdhaacb
hdfb,bfdhbbcb
hdfc,cfdhcccb
hdfe,efdheecb
hdfg,gfdhggcb
hdga,agdhaacb
hdgb,bgdhbbcb
hdgc,cgdhcccb
hdge,egdheecb
hdgf,fgdhffcb
heab,baehbbcb
heac,caehcccb
head,daehddcb
heaf,faehffcb
heag,gaehggcb
heba,abehaacb
hebc,cbehcccb
hebd,dbehddcb
hebf,fbehffcb
hebg,gbehggcb
heca,acehaacb
hecb,bcehbbcb
hecd,dcehddcb
hecf,fcehffcb
hecg,gcehggcb
heda,adehaacb
hedb,bdehbbcb
hedc,cdehcccb
hedf,fdehffcb
hedg,gdehggcb
hefa,afehaacb
hefb,bfehbbcb
hefc,cfehcccb
hefd,dfehddcb
hefg,gfehggcb
hega,agehaacb
hegb,bgehbbcb
hegc,cgehcccb
hegd,dgehddcb
hegf,fgehffcb
hfab,bafhbbcb
hfac,cafhcccb
hfad,dafhddcb
hfae,eafheecb
hfag,gafhggcb
hfba,abfhaacb
hfbc,cbfhcccb
hfbd,dbfhddcb
hfbe,ebfheecb
hfbg,gbfhggcb
hfca,acfhaacb
hfcb,bcfhbbcb
hfcd,dcfhddcb
hfce,ecfheecb
hfcg,gcfhggcb
hfda,adfhaacb
hfdb,bdfhbbcb
hfdc,cdfhcccb
hfde,edfheecb
hfdg,gdfhggcb
hfea,aefhaacb
hfeb,befhbbcb
hfec,cefhcccb
hfed,defhddcb
hfeg,gefhggcb
hfga,agfhaacb
hfgb,bgfhbbcb
hfgc,cgfhcccb
hfgd,dgfhddcb
hfge,egfheecb
hgab,baghbbcb
hgac,caghcccb
hgad,daghddcb
hgae,eagheecb
hgaf,faghffcb
hgba,abghaacb
hgbc,cbghcccb
hgbd,dbghddcb
hgbe,ebgheecb
hgbf,fbghffcb
hgca,acghaacb
hgcb,bcghbbcb
hgcd,dcghddcb
hgce,ecgheecb
hgcf,fcghffcb
hgda,adghaacb
hgdb,bdghbbcb
hgdc,cdghcccb
hgde,edgheecb
hgdf,fdghffcb
hgea,aeghaacb
hgeb,beghbbcb
hgec,ceghcccb
hged,deghddcb
hgef,feghffcb
hgfa,afghaacb
hgfb,bfghbbcb
hgfc,cfghcccb
hgfd,dfghddcb
hgfe,efgheecb
abcde,edcbaeeb
abcdf,fdcbaffb
abcdg,gdcbaggb
abcdh,hdcbahhb
abced,decbaddb
abcef,fecbaffb
abceg,gecbaggb
abceh,hecbahhb
abcfd,dfcbaddb
abcfe,efcbaeeb
abcfg,gfcbaggb
abcfh,hfcbahhb
abcgd,dgcbaddb
abcge,egcbaeeb
abcgf,fgcbaffb
abcgh,hgcbahhb
abchd,dhcbaddb
abche,ehcbaeeb
abchf,fhcbaffb
abchg,ghcbaggb
abdce,ecdbaeeb
abdcf,fcdbaffb
abdcg,gcdbaggb
abdch,hcdbahhb
abdec,cedbaccb
abdef,fedbaffb
abdeg,gedbaggb
abdeh,hedbahhb
abdfc,cfdbaccb
abdfe,efdbaeeb
abdfg,gfdbaggb
abdfh,hfdbahhb
abdgc,cgdbaccb
abdge,egdbaeeb
abdgf,fgdbaffb
abdgh,hgdbahhb
abdhc,chdbaccb
abdhe,ehdbaeeb
abdhf,fhdbaffb
abdhg,ghdbaggb
abecd,dcebaddb
abecf,fcebaffb
abecg,gcebaggb
abech,hcebahhb
abedc,cdebaccb
abedf,fdebaffb
abedg,gdebaggb
abedh,hdebahhb
abefc,cfebaccb
abefd,dfebaddb
abefg,gfebaggb
abefh,hfebahhb
abegc,cgebaccb
abegd,dgebaddb
abegf,fgebaffb
abegh,hgebahhb
abehc,chebaccb
abehd,dhebaddb
abehf,fhebaffb
abehg,ghebaggb
abfcd,dcfbaddb
abfce,ecfbaeeb
abfcg,gcfbaggb
abfch,hcfbahhb
abfdc,cdfbaccb
abfde,edfbaeeb
abfdg,gdfbaggb
abfdh,hdfbahhb
abfec,cefbaccb
abfed,defbaddb
abfeg,gefbaggb
abfeh,hefbahhb
abfgc,cgfbaccb
abfgd,dgfbaddb
abfge,egfbaeeb
abfgh,hgfbahhb
abfhc,chfbaccb
abfhd,dhfbaddb
abfhe,ehfbaeeb
abfhg,ghfbaggb
abgcd,dcgbaddb
abgce,ecgbaeeb
abgcf,fcgbaffb
abgch,hcgbahhb
abgdc,cdgbaccb
abgde,edgbaeeb
abgdf,fdgbaffb
abgdh,hdgbahhb
abgec,cegbaccb
abged,degbaddb
abgef,fegbaffb
abgeh,hegbahhb
abgfc,cfgbaccb
abgfd,dfgbaddb
abgfe,efgbaeeb
abgfh,hfgbahhb
abghc,chgbaccb
abghd,dhgbaddb
abghe,ehgbaeeb
abghf,fhgbaffb
abhcd,dchbaddb
abhce,echbaeeb
abhcf,fchbaffb
abhcg,gchbaggb
abhdc,cdhbaccb
abhde,edhbaeeb
abhdf,fdhbaffb
abhdg,gdhbaggb
abhec,cehbaccb
abhed,dehbaddb
abhef,fehbaffb
abheg,gehbaggb
abhfc,cfhbaccb
abhfd,dfhbaddb
abhfe,efhbaeeb
abhfg,gfhbaggb
abhgc,cghbaccb
abhgd,dghbaddb
abhge,eghbaeeb
abhgf,fghbaffb
acbde,edbcaeeb
acbdf,fdbcaffb
acbdg,gdbcaggb
acbdh,hdbcahhb
acbed,debcaddb
acbef,febcaffb
acbeg,gebcaggb
acbeh,hebcahhb
acbfd,dfbcaddb
acbfe,efbcaeeb
acbfg,gfbcaggb
acbfh,hfbcahhb
acbgd,dgbcaddb
acbge,egbcaeeb
acbgf,fgbcaffb
acbgh,hgbcahhb
acbhd,dhbcaddb
acbhe,ehbcaeeb
acbhf,fhbcaffb
acbhg,ghbcaggb
acdbe,ebdcaeeb
acdbf,fbdcaffb
acdbg,gbdcaggb
acdbh,hbdcahhb
acdeb,bedcabbb
acdef,fedcaffb
acdeg,gedcaggb
acdeh,hedcahhb
acdfb,bfdcabbb
acdfe,efdcaeeb
acdfg,gfdcaggb
acdfh,hfdcahhb
acdgb,bgdcabbb
acdge,egdcaeeb
acdgf,fgdcaffb
acdgh,hgdcahhb
acdhb,bhdcabbb
acdhe,ehdcaeeb
acdhf,fhdcaffb
acdhg,ghdcaggb
acebd,dbecaddb
acebf,fbecaffb
acebg,gbecaggb
acebh,hbecahhb
acedb,bdecabbb
acedf,fdecaffb
acedg,gdecaggb
acedh,hdecahhb
acefb,bfecabbb
acefd,dfecaddb
acefg,gfecaggb
acefh,hfecahhb
acegb,bgecabbb
acegd,dgecaddb
acegf,fgecaffb
acegh,hgecahhb
acehb,bhecabbb
acehd,dhecaddb
acehf,fhecaffb
acehg,ghecaggb
acfbd,dbfcaddb
acfbe,ebfcaeeb
acfbg,gbfcaggb
acfbh,hbfcahhb
acfdb,bdfcabbb
acfde,edfcaeeb
acfdg,gdfcaggb
acfdh,hdfcahhb
acfeb,befcabbb
acfed,defcaddb
acfeg,gefcaggb
acfeh,hefcahhb
acfgb,bgfcabbb
acfgd,dgfcaddb
acfge,egfcaeeb
acfgh,hgfcahhb
acfhb,bhfcabbb
acfhd,dhfcaddb
acfhe,ehfcaeeb
acfhg,ghfcaggb
acgbd,dbgcaddb
acgbe,ebgcaeeb
acgbf,fbgcaffb
acgbh,hbgcahhb
acgdb,bdgcabbb
acgde,edgcaeeb
acgdf,fdgcaffb
acgdh,hdgcahhb
acgeb,begcabbb
acged,degcaddb
acgef,fegcaffb
acgeh,hegcahhb
acgfb,bfgcabbb
acgfd,dfgcaddb
acgfe,efgcaeeb
acgfh,hfgcahhb
acghb,bhgcabbb
acghd,dhgcaddb
acghe,ehgcaeeb
acghf,fhgcaffb
achbd,dbhcaddb
achbe,ebhcaeeb
achbf,fbhcaffb
achbg,gbhcaggb
achdb,bdhcabbb
achde,edhcaeeb
achdf,fdhcaffb
achdg,gdhcaggb
acheb,behcabbb
ached,dehcaddb
achef,fehcaffb
acheg,gehcaggb
achfb,bfhcabbb
achfd,dfhcaddb
achfe,efhcaeeb
achfg,gfhcaggb
achgb,bghcabbb
achgd,dghcaddb
achge,eghcaeeb
achgf,fghcaffb
adbce,ecbdaeeb
adbcf,fcbdaffb
adbcg,gcbdaggb
adbch,hcbdahhb
adbec,cebdaccb
adbef,febdaffb
adbeg,gebdaggb
adbeh,hebdahhb
adbfc,cfbdaccb
adbfe,efbdaeeb
adbfg,gfbdaggb
adbfh,hfbdahhb
adbgc,cgbdaccb
adbge,egbdaeeb
adbgf,fgbdaffb
adbgh,hgbdahhb
adbhc,chbdaccb
adbhe,ehbdaeeb
adbhf,fhbdaffb
adbhg,ghbdaggb
adcbe,ebcdaeeb
adcbf,fbcdaffb
adcbg,gbcdaggb
adcbh,hbcdahhb
adceb,becdabbb
adcef,fecdaffb
adceg,gecdaggb
adceh,hecdahhb
adcfb,bfcdabbb
adcfe,efcdaeeb
adcfg,gfcdaggb
adcfh,hfcdahhb
adcgb,bgcdabbb
adcge,egcdaeeb
adcgf,fgcdaffb
adcgh,hgcdahhb
adchb,bhcdabbb
adche,ehcdaeeb
adchf,fhcdaffb
adchg,ghcdaggb
adebc,cbedaccb
adebf,fbedaffb
adebg,gbedaggb
adebh,hbedahhb
adecb,bcedabbb
adecf,fcedaffb
adecg,gcedaggb
adech,hcedahhb
adefb,bfedabbb
adefc,cfedaccb
adefg,gfedaggb
adefh,hfedahhb
adegb,bgedabbb
adegc,cgedaccb
adegf,fgedaffb
adegh,hgedahhb
adehb,bhedabbb
adehc,chedaccb
adehf,fhedaffb
adehg,ghedaggb
adfbc,cbfdaccb
adfbe,ebfdaeeb
adfbg,gbfdaggb
adfbh,hbfdahhb
adfcb,bcfdabbb
adfce,ecfdaeeb
adfcg,gcfdaggb
adfch,hcfdahhb
adfeb,befdabbb
adfec,cefdaccb
adfeg,gefdaggb
adfeh,hefdahhb
adfgb,bgfdabbb
adfgc,cgfdaccb
adfge,egfdaeeb
adfgh,hgfdahhb
adfhb,bhfdabbb
adfhc,chfdaccb
adfhe,ehfdaeeb
adfhg,ghfdaggb
adgbc,cbgdaccb
adgbe,ebgdaeeb
adgbf,fbgdaffb
adgbh,hbgdahhb
adgcb,bcgdabbb
adgce,ecgdaeeb
adgcf,fcgdaffb
adgch,hcgdahhb
adgeb,begdabbb
adgec,cegdaccb
adgef,fegdaffb
adgeh,hegdahhb
adgfb,bfgdabbb
adgfc,cfgdaccb
adgfe,efgdaeeb
adgfh,hfgdahhb
adghb,bhgdabbb
adghc,chgdaccb
adghe,ehgdaeeb
adghf,fhgdaffb
adhbc,cbhdaccb
adhbe,ebhdaeeb
adhbf,fbhdaffb
adhbg,gbhdaggb
adhcb,bchdabbb
adhce,echdaeeb
adhcf,fchdaffb
adhcg,gchdaggb
adheb,behdabbb
adhec,cehdaccb
adhef,fehdaffb
adheg,gehdaggb
