a,aaaedcb
aegcf,fcgeaff
aegdb,bdgeabb
aegdc,cdgeacc
aegdf,fdgeaff
aegfb,bfgeabb
aegfc,cfgeacc
aegfd,dfgeadd
afbcd,dcbfadd
afbce,ecbfaee
afbcg,gcbfagg
afbdc,cdbfacc
afbde,edbfaee
afbdg,gdbfagg
afbec,cebfacc
afbed,debfadd
afbeg,gebfagg
afbgc,cgbfacc
afbgd,dgbfadd
afbge,egbfaee
afcbd,dbcfadd
afcbe,ebcfaee
afcbg,gbcfagg
afcdb,bdcfabb
afcde,edcfaee
afcdg,gdcfagg
afceb,becfabb
afced,decfadd
afceg,gecfagg
afcgb,bgcfabb
afcgd,dgcfadd
afcge,egcfaee
afdbc,cbdfacc
afdbe,ebdfaee
afdbg,gbdfagg
afdcb,bcdfabb
afdce,ecdfaee
afdcg,gcdfagg
afdeb,bedfabb
afdec,cedfacc
afdeg,gedfagg
afdgb,bgdfabb
afdgc,cgdfacc
afdge,egdfaee
afebc,cbefacc
afebd,dbefadd
afebg,gbefagg
afecb,bcefabb
afecd,dcefadd
afecg,gcefagg
afedb,bdefabb
afedc,cdefacc
afedg,gdefagg
afegb,bgefabb
afegc,cgefacc
afegd,dgefadd
afgbc,cbgfacc
afgbd,dbgfadd
afgbe,ebgfaee
afgcb,bcgfabb
afgcd,dcgfadd
afgce,ecgfaee
afgdb,bdgfabb
afgdc,cdgfacc
afgde,edgfaee
afgeb,begfabb
afgec,cegfacc
afged,degfadd
agbcd,dcbgadd
agbce,ecbgaee
agbcf,fcbgaff
agbdc,cdbgacc
agbde,edbgaee
agbdf,fdbgaff
agbec,cebgacc
agbed,debgadd
agbef,febgaff
agbfc,cfbgacc
agbfd,dfbgadd
agbfe,efbgaee
agcbd,dbcgadd
agcbe,ebcgaee
agcbf,fbcgaff
agcdb,bdcgabb
agcde,edcgaee
agcdf,fdcgaff
agceb,becgabb
agced,decgadd
agcef,fecgaff
agcfb,bfcgabb
agcfd,dfcgadd
agcfe,efcgaee
agdbc,cbdgacc
agdbe,ebdgaee
agdbf,fbdgaff
agdcb,bcdgabb
agdce,ecdgaee
agdcf,fcdgaff
agdeb,bedgabb
agdec,cedgacc
agdef,fedgaff
agdfb,bfdgabb
agdfc,cfdgacc
agdfe,efdgaee
agebc,cbegacc
agebd,dbegadd
agebf,fbegaff
agecb,bcegabb
agecd,dcegadd
agecf,fcegaff
agedb,bdegabb
agedc,cdegacc
agedf,fdegaff
agefb,bfegabb
agefc,cfegacc
agefd,dfegadd
agfbc,cbfgacc
agfbd,dbfgadd
agfbe,ebfgaee
agfcb,bcfgabb
agfcd,dcfgadd
agfce,ecfgaee
agfdb,bdfgabb
agfdc,cdfgacc
agfde,edfgaee
agfeb,befgabb
agfec,cefgacc
agfed,defgadd
bacde,edcabee
bacdf,fdcabff
bacdg,gdcabgg
baced,decabdd
bacef,fecabff
baceg,gecabgg
bacfd,dfcabdd
bacfe,efcabee
bacfg,gfcabgg
bacgd,dgcabdd
bacge,egcabee
bacgf,fgcabff
badce,ecdabee
badcf,fcdabff
badcg,gcdabgg
badec,cedabcc
badef,fedabff
badeg,gedabgg
badfc,cfdabcc
badfe,efdabee
badfg,gfdabgg
badgc,cgdabcc
badge,egdabee
badgf,fgdabff
baecd,dceabdd
baecf,fceabff
baecg,gceabgg
baedc,cdeabcc
baedf,fdeabff
baedg,gdeabgg
baefc,cfeabcc
baefd,dfeabdd
baefg,gfeabgg
baegc,cgeabcc
baegd,dgeabdd
baegf,fgeabff
bafcd,dcfabdd
bafce,ecfabee
bafcg,gcfabgg
bafdc,cdfabcc
bafde,edfabee
bafdg,gdfabgg
bafec,cefabcc
bafed,defabdd
bafeg,gefabgg
bafgc,cgfabcc
bafgd,dgfabdd
bafge,egfabee
bagcd,dcgabdd
bagce,ecgabee
bagcf,fcgabff
bagdc,cdgabcc
bagde,edgabee
bagdf,fdgabff
bagec,cegabcc
baged,degabdd
bagef,fegabff
bagfc,cfgabcc
bagfd,dfgabdd
bagfe,efgabee
bcade,edacbee
bcadf,fdacbff
bcadg,gdacbgg
bcaed,deacbdd
bcaef,feacbff
bcaeg,geacbgg
bcafd,dfacbdd
bcafe,efacbee
bcafg,gfacbgg
bcagd,dgacbdd
bcage,egacbee
bcagf,fgacbff
bcdae,eadcbee
bcdaf,fadcbff
bcdag,gadcbgg
bcdea,aedcbaa
bcdef,fedcbff
bcdeg,gedcbgg
bcdfa,afdcbaa
bcdfe,efdcbee
bcdfg,gfdcbgg
bcdga,agdcbaa
bcdge,egdcbee
bcdgf,fgdcbff
bcead,daecbdd
bceaf,faecbff
bceag,gaecbgg
bceda,adecbaa
bcedf,fdecbff
bcedg,gdecbgg
bcefa,afecbaa
bcefd,dfecbdd
bcefg,gfecbgg
bcega,agecbaa
bcegd,dgecbdd
bcegf,fgecbff
bcfad,dafcbdd
bcfae,eafcbee
bcfag,gafcbgg
bcfda,adfcbaa
bcfde,edfcbee
bcfdg,gdfcbgg
bcfea,aefcbaa
bcfed,defcbdd
bcfeg,gefcbgg
bcfga,agfcbaa
bcfgd,dgfcbdd
bcfge,egfcbee
bcgad,dagcbdd
bcgae,eagcbee
bcgaf,fagcbff
bcgda,adgcbaa
bcgde,edgcbee
bcgdf,fdgcbff
bcgea,aegcbaa
bcged,degcbdd
bcgef,fegcbff
bcgfa,afgcbaa
bcgfd,dfgcbdd
bcgfe,efgcbee
bdace,ecadbee
bdacf,fcadbff
bdacg,gcadbgg
bdaec,ceadbcc
bdaef,feadbff
bdaeg,geadbgg
bdafc,cfadbcc
bdafe,efadbee
bdafg,gfadbgg
bdagc,cgadbcc
bdage,egadbee
bdagf,fgadbff
bdcae,eacdbee
bdcaf,facdbff
bdcag,gacdbgg
bdcea,aecdbaa
bdcef,fecdbff
bdceg,gecdbgg
bdcfa,afcdbaa
bdcfe,efcdbee
bdcfg,gfcdbgg
bdcga,agcdbaa
bdcge,egcdbee
bdcgf,fgcdbff
bdeac,caedbcc
bdeaf,faedbff
bdeag,gaedbgg
bdeca,acedbaa
bdecf,fcedbff
bdecg,gcedbgg
bdefa,afedbaa
bdefc,cfedbcc
bdefg,gfedbgg
bdega,agedbaa
bdegc,cgedbcc
bdegf,fgedbff
bdfac,cafdbcc
bdfae,eafdbee
bdfag,gafdbgg
bdfca,acfdbaa
bdfce,ecfdbee
bdfcg,gcfdbgg
bdfea,aefdbaa
bdfec,cefdbcc
bdfeg,gefdbgg
bdfga,agfdbaa
bdfgc,cgfdbcc
bdfge,egfdbee
bdgac,cagdbcc
bdgae,eagdbee
bdgaf,fagdbff
bdgca,acgdbaa
bdgce,ecgdbee
bdgcf,fcgdbff
bdgea,aegdbaa
bdgec,cegdbcc
bdgef,fegdbff
bdgfa,afgdbaa
bdgfc,cfgdbcc
bdgfe,efgdbee
beacd,dcaebdd
beacf,fcaebff
beacg,gcaebgg
beadc,cdaebcc
beadf,fdaebff
beadg,gdaebgg
beafc,cfaebcc
beafd,dfaebdd
beafg,gfaebgg
beagc,cgaebcc
beagd,dgaebdd
beagf,fgaebff
becad,dacebdd
becaf,facebff
becag,gacebgg
becda,adcebaa
becdf,fdcebff
becdg,gdcebgg
becfa,afcebaa
becfd,dfcebdd
becfg,gfcebgg
becga,agcebaa
becgd,dgcebdd
becgf,fgcebff
bedac,cadebcc
bedaf,fadebff
bedag,gadebgg
bedca,acdebaa
bedcf,fcdebff
bedcg,gcdebgg
bedfa,afdebaa
bedfc,cfdebcc
bedfg,gfdebgg
bedga,agdebaa
bedgc,cgdebcc
bedgf,fgdebff
befac,cafebcc
befad,dafebdd
befag,gafebgg
befca,acfebaa
befcd,dcfebdd
befcg,gcfebgg
befda,adfebaa
befdc,cdfebcc
befdg,gdfebgg
befga,agfebaa
befgc,cgfebcc
befgd,dgfebdd
begac,cagebcc
begad,dagebdd
begaf,fagebff
begca,acgebaa
begcd,dcgebdd
begcf,fcgebff
begda,adgebaa
begdc,cdgebcc
begdf,fdgebff
begfa,afgebaa
begfc,cfgebcc
begfd,dfgebdd
bfacd,dcafbdd
bface,ecafbee
bfacg,gcafbgg
bfadc,cdafbcc
bfade,edafbee
bfadg,gdafbgg
bfaec,ceafbcc
bfaed,deafbdd
bfaeg,geafbgg
bfagc,cgafbcc
bfagd,dgafbdd
bfage,egafbee
bfcad,dacfbdd
bfcae,eacfbee
bfcag,gacfbgg
bfcda,adcfbaa
bfcde,edcfbee
bfcdg,gdcfbgg
bfcea,aecfbaa
bfced,decfbdd
bfceg,gecfbgg
bfcga,agcfbaa
bfcgd,dgcfbdd
bfcge,egcfbee
bfdac,cadfbcc
bfdae,eadfbee
bfdag,gadfbgg
bfdca,acdfbaa
bfdce,ecdfbee
bfdcg,gcdfbgg
bfdea,aedfbaa
bfdec,cedfbcc
bfdeg,gedfbgg
bfdga,agdfbaa
bfdgc,cgdfbcc
bfdge,egdfbee
bfeac,caefbcc
bfead,daefbdd
bfeag,gaefbgg
bfeca,acefbaa
bfecd,dcefbdd
bfecg,gcefbgg
bfeda,adefbaa
bfedc,cdefbcc
bfedg,gdefbgg
bfega,agefbaa
bfegc,cgefbcc
bfegd,dgefbdd
bfgac,cagfbcc
bfgad,dagfbdd
bfgae,eagfbee
bfgca,acgfbaa
bfgcd,dcgfbdd
bfgce,ecgfbee
bfgda,adgfbaa
bfgdc,cdgfbcc
bfgde,edgfbee
bfgea,aegfbaa
bfgec,cegfbcc
bfged,degfbdd
bgacd,dcagbdd
bgace,ecagbee
bgacf,fcagbff
bgadc,cdagbcc
bgade,edagbee
bgadf,fdagbff
bgaec,ceagbcc
bgaed,deagbdd
bgaef,feagbff
bgafc,cfagbcc
bgafd,dfagbdd
bgafe,efagbee
bgcad,dacgbdd
bgcae,eacgbee
bgcaf,facgbff
bgcda,adcgbaa
bgcde,edcgbee
bgcdf,fdcgbff
bgcea,aecgbaa
bgced,decgbdd
bgcef,fecgbff
bgcfa,afcgbaa
bgcfd,dfcgbdd
bgcfe,efcgbee
bgdac,cadgbcc
bgdae,eadgbee
bgdaf,fadgbff
bgdca,acdgbaa
bgdce,ecdgbee
bgdcf,fcdgbff
bgdea,aedgbaa
bgdec,cedgbcc
bgdef,fedgbff
bgdfa,afdgbaa
bgdfc,cfdgbcc
bgdfe,efdgbee
bgeac,caegbcc
bgead,daegbdd
bgeaf,faegbff
bgeca,acegbaa
bgecd,dcegbdd
bgecf,fcegbff
bgeda,adegbaa
bgedc,cdegbcc
bgedf,fdegbff
bgefa,afegbaa
bgefc,cfegbcc
bgefd,dfegbdd
bgfac,cafgbcc
bgfad,dafgbdd
bgfae,eafgbee
bgfca,acfgbaa
bgfcd,dcfgbdd
bgfce,ecfgbee
bgfda,adfgbaa
bgfdc,cdfgbcc
bgfde,edfgbee
bgfea,aefgbaa
bgfec,cefgbcc
bgfed,defgbdd
cabde,edbacee
cabdf,fdbacff
cabdg,gdbacgg
cabed,debacdd
cabef,febacff
cabeg,gebacgg
cabfd,dfbacdd
cabfe,efbacee
cabfg,gfbacgg
cabgd,dgbacdd
cabge,egbacee
cabgf,fgbacff
cadbe,ebdacee
cadbf,fbdacff
cadbg,gbdacgg
cadeb,bedacbb
cadef,fedacff
cadeg,gedacgg
cadfb,bfdacbb
cadfe,efdacee
cadfg,gfdacgg
cadgb,bgdacbb
cadge,egdacee
cadgf,fgdacff
caebd,dbeacdd
caebf,fbeacff
caebg,gbeacgg
caedb,bdeacbb
caedf,fdeacff
caedg,gdeacgg
caefb,bfeacbb
caefd,dfeacdd
caefg,gfeacgg
caegb,bgeacbb
caegd,dgeacdd
caegf,fgeacff
cafbd,dbfacdd
cafbe,ebfacee
cafbg,gbfacgg
cafdb,bdfacbb
cafde,edfacee
cafdg,gdfacgg
cafeb,befacbb
cafed,defacdd
cafeg,gefacgg
cafgb,bgfacbb
cafgd,dgfacdd
cafge,egfacee
cagbd,dbgacdd
cagbe,ebgacee
cagbf,fbgacff
cagdb,bdgacbb
cagde,edgacee
cagdf,fdgacff
cageb,begacbb
caged,degacdd
cagef,fegacff
cagfb,bfgacbb
cagfd,dfgacdd
cagfe,efgacee
cbade,edabcee
cbadf,fdabcff
cbadg,gdabcgg
cbaed,deabcdd
cbaef,feabcff
cbaeg,geabcgg
cbafd,dfabcdd
cbafe,efabcee
cbafg,gfabcgg
cbagd,dgabcdd
cbage,egabcee
cbagf,fgabcff
cbdae,eadbcee
cbdaf,fadbcff
cbdag,gadbcgg
cbdea,aedbcaa
cbdef,fedbcff
cbdeg,gedbcgg
cbdfa,afdbcaa
cbdfe,efdbcee
cbdfg,gfdbcgg
cbdga,agdbcaa
cbdge,egdbcee
cbdgf,fgdbcff
cbead,daebcdd
cbeaf,faebcff
cbeag,gaebcgg
cbeda,adebcaa
cbedf,fdebcff
cbedg,gdebcgg
cbefa,afebcaa
cbefd,dfebcdd
cbefg,gfebcgg
cbega,agebcaa
cbegd,dgebcdd
cbegf,fgebcff
cbfad,dafbcdd
cbfae,eafbcee
cbfag,gafbcgg
cbfda,adfbcaa
cbfde,edfbcee
cbfdg,gdfbcgg
cbfea,aefbcaa
cbfed,defbcdd
cbfeg,gefbcgg
cbfga,agfbcaa
cbfgd,dgfbcdd
cbfge,egfbcee
cbgad,dagbcdd
cbgae,eagbcee
cbgaf,fagbcff
cbgda,adgbcaa
cbgde,edgbcee
cbgdf,fdgbcff
cbgea,aegbcaa
cbged,degbcdd
cbgef,fegbcff
cbgfa,afgbcaa
cbgfd,dfgbcdd
cbgfe,efgbcee
cdabe,ebadcee
cdabf,fbadcff
cdabg,gbadcgg
cdaeb,beadcbb
cdaef,feadcff
cdaeg,geadcgg
cdafb,bfadcbb
cdafe,efadcee
cdafg,gfadcgg
cdagb,bgadcbb
cdage,egadcee
cdagf,fgadcff
cdbae,eabdcee
cdbaf,fabdcff
cdbag,gabdcgg
cdbea,aebdcaa
cdbef,febdcff
cdbeg,gebdcgg
cdbfa,afbdcaa
cdbfe,efbdcee
cdbfg,gfbdcgg
cdbga,agbdcaa
cdbge,egbdcee
cdbgf,fgbdcff
cdeab,baedcbb
cdeaf,faedcff
cdeag,gaedcgg
cdeba,abedcaa
cdebf,fbedcff
cdebg,gbedcgg
cdefa,afedcaa
cdefb,bfedcbb
cdefg,gfedcgg
cdega,agedcaa
cdegb,bgedcbb
cdegf,fgedcff
cdfab,bafdcbb
cdfae,eafdcee
cdfag,gafdcgg
cdfba,abfdcaa
cdfbe,ebfdcee
cdfbg,gbfdcgg
cdfea,aefdcaa
cdfeb,befdcbb
cdfeg,gefdcgg
cdfga,agfdcaa
cdfgb,bgfdcbb
cdfge,egfdcee
cdgab,bagdcbb
cdgae,eagdcee
cdgaf,fagdcff
cdgba,abgdcaa
cdgbe,ebgdcee
cdgbf,fbgdcff
cdgea,aegdcaa
cdgeb,begdcbb
cdgef,fegdcff
cdgfa,afgdcaa
cdgfb,bfgdcbb
cdgfe,efgdcee
ceabd,dbaecdd
ceabf,fbaecff
ceabg,gbaecgg
ceadb,bdaecbb
ceadf,fdaecff
ceadg,gdaecgg
ceafb,bfaecbb
ceafd,dfaecdd
ceafg,gfaecgg
ceagb,bgaecbb
ceagd,dgaecdd
ceagf,fgaecff
cebad,dabecdd
cebaf,fabecff
cebag,gabecgg
cebda,adbecaa
cebdf,fdbecff
cebdg,gdbecgg
cebfa,afbecaa
cebfd,dfbecdd
cebfg,gfbecgg
cebga,agbecaa
cebgd,dgbecdd
cebgf,fgbecff
cedab,badecbb
cedaf,fadecff
cedag,gadecgg
cedba,abdecaa
cedbf,fbdecff
cedbg,gbdecgg
cedfa,afdecaa
cedfb,bfdecbb
cedfg,gfdecgg
cedga,agdecaa
cedgb,bgdecbb
cedgf,fgdecff
cefab,bafecbb
cefad,dafecdd
cefag,gafecgg
cefba,abfecaa
cefbd,dbfecdd
cefbg,gbfecgg
cefda,adfecaa
cefdb,bdfecbb
cefdg,gdfecgg
cefga,agfecaa
cefgb,bgfecbb
cefgd,dgfecdd
cegab,bagecbb
cegad,dagecdd
cegaf,fagecff
cegba,abgecaa
cegbd,dbgecdd
cegbf,fbgecff
cegda,adgecaa
cegdb,bdgecbb
cegdf,fdgecff
cegfa,afgecaa
cegfb,bfgecbb
cegfd,dfgecdd
cfabd,dbafcdd
cfabe,ebafcee
cfabg,gbafcgg
cfadb,bdafcbb
cfade,edafcee
cfadg,gdafcgg
cfaeb,beafcbb
cfaed,deafcdd
cfaeg,geafcgg
cfagb,bgafcbb
cfagd,dgafcdd
cfage,egafcee
cfbad,dabfcdd
cfbae,eabfcee
cfbag,gabfcgg
cfbda,adbfcaa
cfbde,edbfcee
cfbdg,gdbfcgg
cfbea,aebfcaa
cfbed,debfcdd
cfbeg,gebfcgg
cfbga,agbfcaa
cfbgd,dgbfcdd
cfbge,egbfcee
cfdab,badfcbb
cfdae,eadfcee
cfdag,gadfcgg
cfdba,abdfcaa
cfdbe,ebdfcee
cfdbg,gbdfcgg
cfdea,aedfcaa
cfdeb,bedfcbb
cfdeg,gedfcgg
cfdga,agdfcaa
cfdgb,bgdfcbb
cfdge,egdfcee
cfeab,baefcbb
cfead,daefcdd
cfeag,gaefcgg
cfeba,abefcaa
cfebd,dbefcdd
cfebg,gbefcgg
cfeda,adefcaa
cfedb,bdefcbb
cfedg,gdefcgg
cfega,agefcaa
cfegb,bgefcbb
cfegd,dgefcdd
cfgab,bagfcbb
cfgad,dagfcdd
cfgae,eagfcee
cfgba,abgfcaa
cfgbd,dbgfcdd
cfgbe,ebgfcee
cfgda,adgfcaa
cfgdb,bdgfcbb
cfgde,edgfcee
cfgea,aegfcaa
cfgeb,begfcbb
cfged,degfcdd
cgabd,dbagcdd
cgabe,ebagcee
cgabf,fbagcff
cgadb,bdagcbb
cgade,edagcee
cgadf,fdagcff
cgaeb,beagcbb
cgaed,deagcdd
cgaef,feagcff
cgafb,bfagcbb
cgafd,dfagcdd
cgafe,efagcee
cgbad,dabgcdd
cgbae,eabgcee
cgbaf,fabgcff
cgbda,adbgcaa
cgbde,edbgcee
cgbdf,fdbgcff
cgbea,aebgcaa
cgbed,debgcdd
cgbef,febgcff
cgbfa,afbgcaa
cgbfd,dfbgcdd
cgbfe,efbgcee
cgdab,badgcbb
cgdae,eadgcee
cgdaf,fadgcff
cgdba,abdgcaa
cgdbe,ebdgcee
cgdbf,fbdgcff
cgdea,aedgcaa
cgdeb,bedgcbb
cgdef,fedgcff
cgdfa,afdgcaa
cgdfb,bfdgcbb
cgdfe,efdgcee
cgeab,baegcbb
cgead,daegcdd
cgeaf,faegcff
cgeba,abegcaa
cgebd,dbegcdd
cgebf,fbegcff
cgeda,adegcaa
cgedb,bdegcbb
cgedf,fdegcff
cgefa,afegcaa
cgefb,bfegcbb
cgefd,dfegcdd
cgfab,bafgcbb
cgfad,dafgcdd
cgfae,eafgcee
cgfba,abfgcaa
cgfbd,dbfgcdd
cgfbe,ebfgcee
cgfda,adfgcaa
cgfdb,bdfgcbb
cgfde,edfgcee
cgfea,aefgcaa
cgfeb,befgcbb
cgfed,defgcdd
dabce,ecbadee
dabcf,fcbadff
dabcg,gcbadgg
dabec,cebadcc
dabef,febadff
dabeg,gebadgg
dabfc,cfbadcc
dabfe,efbadee
dabfg,gfbadgg
dabgc,cgbadcc
dabge,egbadee
dabgf,fgbadff
dacbe,ebcadee
dacbf,fbcadff
dacbg,gbcadgg
daceb,becadbb
dacef,fecadff
daceg,gecadgg
dacfb,bfcadbb
dacfe,efcadee
dacfg,gfcadgg
dacgb,bgcadbb
dacge,egcadee
dacgf,fgcadff
daebc,cbeadcc
daebf,fbeadff
daebg,gbeadgg
daecb,bceadbb
daecf,fceadff
daecg,gceadgg
daefb,bfeadbb
daefc,cfeadcc
daefg,gfeadgg
daegb,bgeadbb
daegc,cgeadcc
daegf,fgeadff
dafbc,cbfadcc
dafbe,ebfadee
dafbg,gbfadgg
dafcb,bcfadbb
dafce,ecfadee
dafcg,gcfadgg
dafeb,befadbb
dafec,cefadcc
dafeg,gefadgg
dafgb,bgfadbb
dafgc,cgfadcc
dafge,egfadee
dagbc,cbgadcc
dagbe,ebgadee
dagbf,fbgadff
dagcb,bcgadbb
dagce,ecgadee
dagcf,fcgadff
dageb,begadbb
dagec,cegadcc
dagef,fegadff
dagfb,bfgadbb
dagfc,cfgadcc
dagfe,efgadee
dbace,ecabdee
dbacf,fcabdff
dbacg,gcabdgg
dbaec,ceabdcc
dbaef,feabdff
dbaeg,geabdgg
dbafc,cfabdcc
dbafe,efabdee
dbafg,gfabdgg
dbagc,cgabdcc
dbage,egabdee
dbagf,fgabdff
dbcae,eacbdee
dbcaf,facbdff
dbcag,gacbdgg
dbcea,aecbdaa
dbcef,fecbdff
dbceg,gecbdgg
dbcfa,afcbdaa
dbcfe,efcbdee
dbcfg,gfcbdgg
dbcga,agcbdaa
dbcge,egcbdee
dbcgf,fgcbdff
dbeac,caebdcc
dbeaf,faebdff
dbeag,gaebdgg
dbeca,acebdaa
dbecf,fcebdff
dbecg,gcebdgg
dbefa,afebdaa
dbefc,cfebdcc
dbefg,gfebdgg
dbega,agebdaa
dbegc,cgebdcc
dbegf,fgebdff
dbfac,cafbdcc
dbfae,eafbdee
dbfag,gafbdgg
dbfca,acfbdaa
dbfce,ecfbdee
dbfcg,gcfbdgg
dbfea,aefbdaa
dbfec,cefbdcc
dbfeg,gefbdgg
dbfga,agfbdaa
dbfgc,cgfbdcc
dbfge,egfbdee
dbgac,cagbdcc
dbgae,eagbdee
dbgaf,fagbdff
dbgca,acgbdaa
dbgce,ecgbdee
dbgcf,fcgbdff
dbgea,aegbdaa
dbgec,cegbdcc
dbgef,fegbdff
dbgfa,afgbdaa
dbgfc,cfgbdcc
dbgfe,efgbdee
dcabe,ebacdee
dcabf,fbacdff
dcabg,gbacdgg
dcaeb,beacdbb
dcaef,feacdff
dcaeg,geacdgg
dcafb,bfacdbb
dcafe,efacdee
dcafg,gfacdgg
dcagb,bgacdbb
dcage,egacdee
dcagf,fgacdff
dcbae,eabcdee
dcbaf,fabcdff
dcbag,gabcdgg
dcbea,aebcdaa
dcbef,febcdff
dcbeg,gebcdgg
dcbfa,afbcdaa
dcbfe,efbcdee
dcbfg,gfbcdgg
dcbga,agbcdaa
dcbge,egbcdee
dcbgf,fgbcdff
dceab,baecdbb
dceaf,faecdff
dceag,gaecdgg
dceba,abecdaa
dcebf,fbecdff
dcebg,gbecdgg
dcefa,afecdaa
dcefb,bfecdbb
dcefg,gfecdgg
dcega,agecdaa
dcegb,bgecdbb
dcegf,fgecdff
dcfab,bafcdbb
dcfae,eafcdee
dcfag,gafcdgg
dcfba,abfcdaa
dcfbe,ebfcdee
dcfbg,gbfcdgg
dcfea,aefcdaa
dcfeb,befcdbb
dcfeg,gefcdgg
dcfga,agfcdaa
dcfgb,bgfcdbb
dcfge,egfcdee
dcgab,bagcdbb
dcgae,eagcdee
dcgaf,fagcdff
dcgba,abgcdaa
dcgbe,ebgcdee
dcgbf,fbgcdff
dcgea,aegcdaa
dcgeb,begcdbb
dcgef,fegcdff
dcgfa,afgcdaa
dcgfb,bfgcdbb
dcgfe,efgcdee
deabc,cbaedcc
deabf,fbaedff
deabg,gbaedgg
deacb,bcaedbb
deacf,fcaedff
deacg,gcaedgg
deafb,bfaedbb
deafc,cfaedcc
deafg,gfaedgg
deagb,bgaedbb
deagc,cgaedcc
deagf,fgaedff
debac,cabedcc
debaf,fabedff
debag,gabedgg
debca,acbedaa
debcf,fcbedff
debcg,gcbedgg
debfa,afbedaa
debfc,cfbedcc
debfg,gfbedgg
debga,agbedaa
debgc,cgbedcc
debgf,fgbedff
decab,bacedbb
decaf,facedff
decag,gacedgg
decba,abcedaa
decbf,fbcedff
decbg,gbcedgg
decfa,afcedaa
decfb,bfcedbb
decfg,gfcedgg
decga,agcedaa
decgb,bgcedbb
decgf,fgcedff
defab,bafedbb
defac,cafedcc
defag,gafedgg
defba,abfedaa
defbc,cbfedcc
defbg,gbfedgg
defca,acfedaa
defcb,bcfedbb
defcg,gcfedgg
defga,agfedaa
defgb,bgfedbb
defgc,cgfedcc
degab,bagedbb
degac,cagedcc
degaf,fagedff
degba,abgedaa
degbc,cbgedcc
degbf,fbgedff
degca,acgedaa
degcb,bcgedbb
degcf,fcgedff
degfa,afgedaa
degfb,bfgedbb
degfc,cfgedcc
dfabc,cbafdcc
dfabe,ebafdee
dfabg,gbafdgg
dfacb,bcafdbb
dface,ecafdee
dfacg,gcafdgg
dfaeb,beafdbb
dfaec,ceafdcc
dfaeg,geafdgg
dfagb,bgafdbb
dfagc,cgafdcc
dfage,egafdee
dfbac,cabfdcc
dfbae,eabfdee
dfbag,gabfdgg
dfbca,acbfdaa
dfbce,ecbfdee
dfbcg,gcbfdgg
dfbea,aebfdaa
dfbec,cebfdcc
dfbeg,gebfdgg
dfbga,agbfdaa
dfbgc,cgbfdcc
dfbge,egbfdee
dfcab,bacfdbb
dfcae,eacfdee
dfcag,gacfdgg
dfcba,abcfdaa
dfcbe,ebcfdee
dfcbg,gbcfdgg
dfcea,aecfdaa
dfceb,becfdbb
dfceg,gecfdgg
dfcga,agcfdaa
dfcgb,bgcfdbb
dfcge,egcfdee
dfeab,baefdbb
dfeac,caefdcc
dfeag,gaefdgg
dfeba,abefdaa
dfebc,cbefdcc
dfebg,gbefdgg
dfeca,acefdaa
dfecb,bcefdbb
dfecg,gcefdgg
dfega,agefdaa
dfegb,bgefdbb
dfegc,cgefdcc
dfgab,bagfdbb
dfgac,cagfdcc
dfgae,eagfdee
dfgba,abgfdaa
dfgbc,cbgfdcc
dfgbe,ebgfdee
dfgca,acgfdaa
dfgcb,bcgfdbb
dfgce,ecgfdee
dfgea,aegfdaa
dfgeb,begfdbb
dfgec,cegfdcc
dgabc,cbagdcc
dgabe,ebagdee
dgabf,fbagdff
dgacb,bcagdbb
dgace,ecagdee
dgacf,fcagdff
dgaeb,beagdbb
dgaec,ceagdcc
dgaef,feagdff
dgafb,bfagdbb
dgafc,cfagdcc
dgafe,efagdee
dgbac,cabgdcc
dgbae,eabgdee
dgbaf,fabgdff
dgbca,acbgdaa
dgbce,ecbgdee
dgbcf,fcbgdff
dgbea,aebgdaa
dgbec,cebgdcc
dgbef,febgdff
dgbfa,afbgdaa
dgbfc,cfbgdcc
dgbfe,efbgdee
dgcab,bacgdbb
dgcae,eacgdee
dgcaf,facgdff
dgcba,abcgdaa
dgcbe,ebcgdee
dgcbf,fbcgdff
dgcea,aecgdaa
dgceb,becgdbb
dgcef,fecgdff
dgcfa,afcgdaa
dgcfb,bfcgdbb
dgcfe,efcgdee
dgeab,baegdbb
dgeac,caegdcc
dgeaf,faegdff
dgeba,abegdaa
dgebc,cbegdcc
dgebf,fbegdff
dgeca,acegdaa
dgecb,bcegdbb
dgecf,fcegdff
dgefa,afegdaa
dgefb,bfegdbb
dgefc,cfegdcc
dgfab,bafgdbb
dgfac,cafgdcc
dgfae,eafgdee
dgfba,abfgdaa
dgfbc,cbfgdcc
dgfbe,ebfgdee
dgfca,acfgdaa
dgfcb,bcfgdbb
dgfce,ecfgdee
dgfea,aefgdaa
dgfeb,befgdbb
dgfec,cefgdcc
eabcd,dcbaedd
eabcf,fcbaeff
eabcg,gcbaegg
eabdc,cdbaecc
eabdf,fdbaeff
eabdg,gdbaegg
eabfc,cfbaecc
eabfd,dfbaedd
eabfg,gfbaegg
eabgc,cgbaecc
eabgd,dgbaedd
eabgf,fgbaeff
eacbd,dbcaedd
eacbf,fbcaeff
eacbg,gbcaegg
eacdb,bdcaebb
eacdf,fdcaeff
eacdg,gdcaegg
eacfb,bfcaebb
eacfd,dfcaedd
eacfg,gfcaegg
eacgb,bgcaebb
eacgd,dgcaedd
eacgf,fgcaeff
eadbc,cbdaecc
eadbf,fbdaeff
eadbg,gbdaegg
